915,373
251,477
753,662
1040,870
171,1029
890,13
714,885
208,906
802,618
60,300
235,456
430,790
730,649
391,134
644,704
199,131
952,40
724,762
75,272
32,802
250,602
287,43
354,513
375,259
1049,510
852,883
354,422
1023,895
419,341
825,225
747,540
157,1012
1041,572
595,782
135,265
165,1058
547,994
167,745
251,572
757,228
668,958
490,1005
361,311
110,94
553,1067
546,799
446,354
6,831
791,585
705,988
447,502
1051,509
290,419
36,30
736,849
1071,248
601,758
617,868
1081,572
588,1080
965,613
763,734
1081,823
965,395
278,628
725,170
155,94
244,756
717,650
190,154
973,122
176,44
730,274
843,721
558,1018
508,18
583,869
22,356
306,29
422,843
946,615
592,66
926,322
47,385
25,508
769,45
447,901
581,726
374,385
1012,733
258,7
860,984
443,365
286,2
648,294
654,870
130,201
1040,846
454,165
739,803
587,504
801,308
723,485
620,993
616,204
1009,829
443,376
295,647
608,789
275,596
685,531
771,1028
630,821
298,598
93,1014
85,58
81,764
547,507
451,750
468,510
960,826
464,228
702,269
843,318
467,310
266,311
76,695
1074,836
535,338
90,46
510,1007
138,458
700,1006
601,662
86,709
45,855
161,157
178,375
43,745
848,560
213,481
974,988
313,1041
515,298
827,218
99,705
13,505
612,14
53,787
164,292
739,1021
266,376
909,464
158,661
204,301
228,442
385,966
906,20
746,293
54,44
650,599
794,829
178,273
563,679
539,233
50,553
593,905
106,1063
933,191
734,815
542,903
161,424
566,800
690,699
66,646
881,529
887,340
351,161
12,875
660,37
799,34
443,538
395,1010
928,165
1077,235
984,101
788,38
651,722
2,192
297,242
396,148
226,177
272,32
813,335
316,342
904,551
158,149
551,645
1076,25
208,743
926,804
74,229
158,396
425,591
6,4
5,348
762,896
597,165
460,450
567,3
282,1020
976,763
762,189
395,283
151,251
172,656
453,1059
123,652
252,95
574,56
462,771
110,333
341,342
122,762
906,342
274,861
639,396
882,77
693,735
650,380
712,6
613,53
107,334
228,358
302,1049
613,736
299,376
886,863
1019,318
191,659
895,558
246,684
194,649
793,1061
702,771
718,366
783,860
113,1027
570,1072
1004,837
531,22
230,616
94,712
1020,977
6,542
551,115
841,643
772,315
393,313
221,919
687,461
465,310
602,517
920,218
135,618
66,1029
391,390
640,483
810,102
439,329
476,660
538,284
447,159
978,40
84,428
594,34
363,73
305,376
713,589
358,648
1077,167
564,426
1009,774
559,348
1065,817
791,824
8,365
1032,188
512,999
1012,81
716,184
558,951
447,47
208,119
1035,446
682,795
780,330
48,194
850,992
181,889
844,941
670,1033
365,83
1006,846
873,249
198,585
962,595
711,1069
40,176
490,1021
180,310
216,341
531,33
575,128
511,285
570,853
37,616
19,1018
1074,294
173,730
378,156
899,651
805,884
146,926
459,195
313,886
476,182
353,806
163,713
81,313
738,516
1004,541
134,356
544,984
775,621
390,167
31,353
36,409
544,920
408,455
52,741
978,47
502,792
911,726
373,1070
304,680
98,570
757,44
187,381
1074,970
1060,94
318,1071
207,340
645,924
359,784
779,310
330,799
480,926
756,324
534,196
878,711
1042,78
486,827
75,275
86,22
806,891
679,637
952,507
651,105
990,975
298,783
484,567
857,892
146,715
1035,94
118,464
558,641
260,620
789,543
110,1018
834,632
161,933
872,395
177,282
106,62
208,931
501,465
792,904
899,501
94,893
805,326
25,173
82,905
465,488
121,469
742,814
446,271
226,165
508,598
565,916
152,613
752,860
239,257
689,682
24,453
293,691
48,653
334,952
757,761
894,949
827,869
1049,494
1081,367
460,270
539,57
629,711
1063,934
1046,1030
842,492
312,552
837,976
675,277
128,1043
980,701
70,718
238,56
161,70
281,822
132,446
998,756
169,716
691,420
162,44
555,778
35,285
157,1003
883,322
880,599
358,899
339,844
961,808
721,435
480,518
500,514
863,95
926,391
206,954
740,140
346,881
418,75
664,438
411,715
1063,855
942,148
843,287
535,173
360,209
144,1003
719,391
916,803
124,432
806,666
897,129
274,72
449,1007
16,324
618,209
420,928
897,916
584,77
280,681
502,438
7,1012
844,16
184,410
913,466
495,248
802,610
56,857
826,563
484,500
855,919
501,334
680,983
263,347
613,403
326,277
844,153
827,71
1077,32
904,338
695,551
52,981
382,636
756,1007
805,1069
